Емельяновой Христине
Чеботарёвой Нонне
Семененко Хаве
Дубам Руслану
Ложкинам Семёну
Шустам Давиду
Шабанам Никите
Пыжовой Гульнаре
Шумкинам Станиславу
Ледневу Степану
Покровской Елизавете
Федоренко Цезарю
Пугачёвой Лейле
Юргановому Сергею
Логиновой Алисе
Клюеву Захару
Соломине Еве
Федотовой Доре
Цыпкине Эрнестине
Бондареву Евгению
Танасам Григорию
Миронову Анжелу
Жданову Олегу
Гурьеву Алану
Талдыкинам Антону
Худяковой Татьяне
Шадрине Тамаре
Лупанову Хаве
Цыганову Кузьме
Турбинам Михаилу
Антоненко Герману
Тонкихе Ирине
Самойловой Тамаре
Пономарёвой Белле
Дубовой Руфине
Щетинину Никите
Янсну Вадиму
Яушевам Брониславу
Лыткинам Мстиславу
Субботинам Ивану
Андреенко Элине
Бондаренко Сергею
Потехину Марку
Шаламову Эмилю
Полякам Якову
Мельниченко Олимпиаде
Киреевой Иветте
Щетинкинам Герману
Ушакову Руслану
Ярулинам Соломону
Харламову Дмитрию
Зуеву Матвею
Гавриленко Людвигу
Станкевичу Сергею
Садовникам Илье
Масленниковой Ренате
Покровскому Вениамину
Прозоровой Регин
Язеву Леониду
Хованской Терезе
Хуторскому Павлу
Лемешевой Музе
Сушковому Дмитрию
Хайруллиной Зое
Тимохиной Алевтине
Беляеву Валерию
Цепкове Римме
Крюкову Тимуру
Харламовой Эмме
Митрофанову Аристарху
Шмелёву Карлу
Васильевой Татьяне
Сушковой Ирине
Эйзенштейну Эмилю
Холоповой Татьяне
Сазановой Надежде
Терентьевой Агриппине
Самохвалову Константину
